degree,major,honour,id_year,graduated
بكالوريوس,الهندسة الميكانيكية التطبيقية,2,2014,2018
بكالوريوس,الهندسة المدنية التطبيقية,-1,2013,2018
بكالوريوس,العمارة,-1,2013,2018
بكالوريوس,الهندسة الكهربائية,2,2014,2018
بكالوريوس,الهندسة المعمارية,2,2014,2018
بكالوريوس,الهندسة الصناعية والنظم,2,2014,2018
بكالوريوس,الهندسة الميكانيكية التطبيقية,-1,2013,2018
بكالوريوس,الهندسة الكيميائية,2,2014,2018
بكالوريوس,الهندسة الكيميائية,3,2013,2018
بكالوريوس,الفيزياء,1,2015,2018
بكالوريوس,الهندسة الميكانيكية,2,2014,2018
بكالوريوس,الهندسة الكيميائية,-1,2013,2018
بكالوريوس,الهندسة المعمارية,-1,2013,2018
بكالوريوس,الهندسة الكهربائية,-1,2014,2018
بكالوريوس,الهندسة الكهربائية,1,2014,2018
بكالوريوس,الهندسة الكهربائية,3,2014,2018
بكالوريوس,الهندسة الميكانيكية التطبيقية,-1,2013,2018
بكالوريوس,الهندسة الكهربائية التطبيقية,-1,2014,2018
بكالوريوس,المالية,-1,2014,2018
بكالوريوس,هندسة الطيران والفضاء,-1,2013,2018
بكالوريوس,الهندسة الميكانيكية التطبيقية,-1,2012,2018
بكالوريوس,الهندسة المدنية,2,2014,2018
بكالوريوس,الهندسة الكيميائية,3,2013,2018
بكالوريوس,هندسة الحاسب الآلي,1,2014,2018
بكالوريوس,الهندسة الميكانيكية,2,2015,2018
بكالوريوس,الهندسة الميكانيكية,-1,2013,2018
بكالوريوس,الهندسة الميكانيكية التطبيقية,2,2014,2018
بكالوريوس,المالية,2,2013,2018
بكالوريوس,الهندسة الكهربائية,2,2014,2018
بكالوريوس,الهندسة المدنية,3,2014,2018
بكالوريوس,الهندسة الميكانيكية,3,2014,2018
بكالوريوس,الهندسة المدنية,-1,2013,2018
بكالوريوس,الهندسة المعمارية,-1,2013,2018
بكالوريوس,الهندسة الميكانيكية,3,2014,2018
بكالوريوس,الهندسة المعمارية,-1,2013,2018
بكالوريوس,التسويق,-1,2013,2018
بكالوريوس,المالية,3,2014,2018
بكالوريوس,المحاسبة,3,2014,2018
بكالوريوس,الهندسة الصناعية والنظم,-1,2013,2018
بكالوريوس,الادارة,3,2014,2018
بكالوريوس,هندسة نظم التحكم والقياس,3,2014,2018
بكالوريوس,الهندسة المدنية,-1,2013,2018
بكالوريوس,الهندسة الميكانيكية التطبيقية,-1,2013,2018
بكالوريوس,هندسة البرمجيات,-1,2014,2018
بكالوريوس,الهندسة الميكانيكية,1,2014,2018
بكالوريوس,هندسة البرمجيات,-1,2014,2018
بكالوريوس,الهندسة الميكانيكية التطبيقية,1,2014,2018
بكالوريوس,الهندسة الصناعية والنظم,3,2014,2018
بكالوريوس,الهندسة الكيميائية التطبيقية,-1,2014,2018
بكالوريوس,هندسة الطيران والفضاء التطبيقية,-1,2013,2018
بكالوريوس,الهندسة الكهربائية,2,2014,2018
بكالوريوس,الهندسة المدنية,-1,2014,2018
بكالوريوس,الهندسة الكيميائية التطبيقية,-1,2014,2018
بكالوريوس,الهندسة الكيميائية,2,2014,2018
بكالوريوس,الهندسة الكيميائية,3,2014,2018
بكالوريوس,الهندسة الصناعية والنظم,-1,2013,2018
بكالوريوس,الهندسة الكهربائية,2,2014,2018
بكالوريوس,الهندسة الصناعية والنظم,1,2014,2018
بكالوريوس,الهندسة الصناعية والنظم,-1,2014,2018
بكالوريوس,الهندسة الميكانيكية التطبيقية,3,2014,2018
بكالوريوس,الهندسة الكهربائية التطبيقية,-1,2013,2018
بكالوريوس,المالية,2,2014,2018
بكالوريوس,الهندسة الميكانيكية,2,2014,2018
بكالوريوس,الهندسة الميكانيكية,-1,2014,2018
بكالوريوس,الهندسة الكهربائية التطبيقية,2,2014,2018
بكالوريوس,الهندسة الميكانيكية,2,2014,2018
بكالوريوس,هندسة البرمجيات,-1,2012,2018
بكالوريوس,هندسة البرمجيات,-1,2013,2018
بكالوريوس,الهندسة الميكانيكية,3,2014,2018
بكالوريوس,الهندسة الميكانيكية التطبيقية,-1,2014,2018
بكالوريوس,الهندسة الكهربائية,2,2014,2018
بكالوريوس,الهندسة الصناعية والنظم,2,2014,2018
بكالوريوس,الهندسة الميكانيكية التطبيقية,-1,2014,2018
